,GSM3330561,GSM3330562,GSM3330563,GSM3330564
E238009#AL627309.1,0,0,0,0
E237491#AL669831.5,3,1,16,7
E225880#LINC00115,2,1,3,2
E230368#FAM41C,5,1,6,3
E187634#SAMD11,0,0,0,0
E188976#NOC2L,49,13,80,54
E187961#KLHL17,0,0,4,2
E187583#PLEKHN1,3,1,2,1
E272512#AL645608.7,1,0,0,0
E188290#HES4,29,21,90,93
E187608#ISG15,137,133,520,266
E188157#AGRN,0,0,2,0
E131591#C1orf159,1,1,3,2
E223823#LINC01342,0,0,0,1
E162571#TTLL10,0,0,0,1
E186891#TNFRSF18,17,4,10,10
E186827#TNFRSF4,21,7,9,12
E78808#SDF4,34,20,103,51
E176022#B3GALT6,4,0,10,11
E184163#C1QTNF12,0,0,0,2
E260179#AL162741.1,0,0,1,0
E160087#UBE2J2,40,15,99,49
E162572#SCNN1D,0,0,1,0
E131584#ACAP3,8,2,34,15
E169972#PUSL1,4,2,19,13
E127054#INTS11,28,17,70,41
E224051#CPTP,11,1,21,9
E107404#DVL1,6,3,7,2
E162576#MXRA8,1,0,0,0
E175756#AURKAIP1,125,73,467,218
E221978#CCNL2,22,5,27,23
E242485#MRPL20,111,50,268,127
E272455#AL391244.3,0,0,3,0
E235098#ANKRD65,0,1,1,1
E215915#ATAD3C,0,0,2,1
E160072#ATAD3B,3,3,11,11
E197785#ATAD3A,5,2,19,6
E205090#TMEM240,0,0,0,0
E160075#SSU72,128,61,358,203
E215014#AL645728.1,3,1,9,7
E228594#FNDC10,1,0,2,3
E272106#AL691432.2,2,3,15,5
E197530#MIB2,26,5,58,26
E189409#MMP23B,3,1,8,9
E248333#CDK11B,23,14,52,31
E272004#FO704657.1,0,0,0,1
E189339#SLC35E2B,14,7,38,11
E8128#CDK11A,30,9,72,56
E215790#SLC35E2A,0,1,2,1
E8130#NADK,30,12,66,41
E78369#GNB1,72,30,234,131
E231050#AL109917.1,0,0,0,0
E178821#TMEM52,1,0,0,0
E142609#CFAP74,0,0,0,0
E67606#PRKCZ,3,0,4,4
E271806#AL590822.2,0,0,2,0
E182873#PRKCZ-AS1,0,0,0,0
E162585#FAAP20,91,47,248,146
E157933#SKI,4,2,11,9
E116151#MORN1,2,0,0,2
E157916#RER1,66,33,209,136
E157911#PEX10,2,4,16,8
E149527#PLCH2,0,1,1,4
E157881#PANK4,0,1,1,2
E197921#HES5,0,0,0,0
E272449#AL139246.5,29,12,57,54
E157873#TNFRSF14,98,56,224,149
